happy,sad,misterious,spring,adventurous,thought-provoking,romance,cozy,fun
0.708538830280304,0.4607179164886474,0.367791473865509,0.4152126014232635,0.4754174351692199,0.5425014495849609,0.7180387377738953,0.1846782118082046,0.6202004551887512
0.5932431817054749,0.4035007357597351,0.3644849061965942,0.3616980910301208,0.603044867515564,0.5091428160667419,0.7229807376861572,0.1756874769926071,0.6080173254013062
0.6611394882202148,0.47471883893013,0.5175263285636902,0.3593388795852661,0.6179298162460327,0.5625553131103516,0.7728430032730103,0.2431078851222992,0.7015318870544434
0.6792086958885193,0.4889192581176758,0.4111216068267822,0.3770027756690979,0.4836975634098053,0.631479024887085,0.7530626654624939,0.2047396302223205,0.6334740519523621
0.6515344381332397,0.4568751752376556,0.409289687871933,0.3510218858718872,0.4958106875419616,0.5938196182250977,0.7393972873687744,0.1827292442321777,0.5713006258010864
0.7812780737876892,0.5859670639038086,0.4254275560379028,0.3479518890380859,0.490842342376709,0.552955687046051,0.8372014760971069,0.2636579573154449,0.7300097346305847
0.7175024151802063,0.4839019477367401,0.413923978805542,0.3875763714313507,0.4767130613327026,0.5314599275588989,0.7887450456619263,0.2039302438497543,0.646315336227417
0.5975040793418884,0.4030904173851013,0.3947261571884155,0.3789663314819336,0.5189430713653564,0.5024832487106323,0.666311502456665,0.2000240534543991,0.6140395402908325
0.7611380219459534,0.5317186117172241,0.4095428586006164,0.344390869140625,0.5306559205055237,0.5814034342765808,0.7979618906974792,0.2738755941390991,0.7292509078979492
0.6872913837432861,0.499382734298706,0.4081944823265075,0.3761281967163086,0.5436632633209229,0.5573597550392151,0.7487252950668335,0.224891111254692,0.6437933444976807
0.6219781041145325,0.4647361636161804,0.4391135573387146,0.300575315952301,0.5102594494819641,0.5841090679168701,0.7659822106361389,0.1751607209444046,0.5637425184249878
0.6723393797874451,0.4839248359203338,0.4137934744358063,0.3566439151763916,0.5060049295425415,0.5802428722381592,0.7582604885101318,0.1912692487239837,0.605873703956604
0.6315865516662598,0.4708272516727447,0.4283615350723266,0.3385476469993591,0.6354316473007202,0.5603586435317993,0.7324086427688599,0.2144474238157272,0.654035210609436
0.696270227432251,0.4762657284736633,0.3836738467216491,0.4415010213851928,0.4649934470653534,0.5026330351829529,0.7286376953125,0.2731775045394897,0.6631636619567871
0.7111808061599731,0.4917193651199341,0.3964346945285797,0.4381966888904571,0.551044762134552,0.5465680360794067,0.7884048223495483,0.2035209983587265,0.671200156211853
0.6493443250656128,0.4674525260925293,0.4277690947055816,0.3835196495056152,0.5053061246871948,0.5668486952781677,0.709666907787323,0.2006785273551941,0.6077097654342651
0.7776637077331543,0.5604867935180664,0.4206586480140686,0.3979783952236175,0.4979046285152435,0.5691143274307251,0.754690945148468,0.3135539293289184,0.729442834854126
0.6617286205291748,0.5010018944740295,0.376883327960968,0.3666731119155884,0.4482593536376953,0.5506584644317627,0.7043418884277344,0.1698256283998489,0.5627418160438538
0.7733538150787354,0.5294098854064941,0.377331018447876,0.3486796915531158,0.4429217576980591,0.5784674882888794,0.7520059943199158,0.2296101152896881,0.6631554365158081
0.6924037933349609,0.4958033561706543,0.4950988888740539,0.3501284718513489,0.5485920310020447,0.6072948575019836,0.7953442931175232,0.2799017131328583,0.6840847730636597
0.7544056177139282,0.5521377325057983,0.4305106401443481,0.3411540985107422,0.5039305686950684,0.5733931064605713,0.7817634344100952,0.2038633674383163,0.6943944692611694
0.6969987154006958,0.4780728220939636,0.3741896152496338,0.2712792456150055,0.4873018860816955,0.6158447265625,0.6984772682189941,0.241819143295288,0.6512081623077393
0.7378526926040649,0.5454987287521362,0.4072601795196533,0.347311794757843,0.5744587779045105,0.5871130228042603,0.7778850197792053,0.2847525179386139,0.7331526279449463
0.7317290306091309,0.5205233097076416,0.4252415299415588,0.3738481402397156,0.5133477449417114,0.5670945644378662,0.7290273904800415,0.2395261824131012,0.6960880756378174
0.7218552827835083,0.4861874282360077,0.4069265127182007,0.3664115071296692,0.463221788406372,0.6218602657318115,0.7707997560501099,0.2287870049476623,0.6406901478767395
0.6511422395706177,0.4482284486293793,0.4154250919818878,0.3344262838363647,0.4553626775741577,0.587834358215332,0.7278607487678528,0.1555429100990295,0.5703805685043335
0.6794546246528625,0.473939299583435,0.4456456303596496,0.3739699721336365,0.5691723823547363,0.5471220016479492,0.7496652603149414,0.2258749306201934,0.6589207053184509
0.7078802585601807,0.4964179098606109,0.4163868427276611,0.3836542665958404,0.5468844175338745,0.5837738513946533,0.7918554544448853,0.2470245510339737,0.6557225584983826
0.7017526030540466,0.4783827066421509,0.4062991142272949,0.3270158469676971,0.4769125282764435,0.6107051372528076,0.723986029624939,0.2370532900094986,0.6216222643852234
0.6166108846664429,0.4499962031841278,0.4021932482719421,0.3528753519058227,0.5731209516525269,0.553216278553009,0.7154357433319092,0.1868828535079956,0.6052839159965515
0.5795356631278992,0.3915222287178039,0.4132854342460632,0.3379478454589844,0.5842524766921997,0.5409963726997375,0.7334514856338501,0.1444341838359832,0.5665311217308044
0.6110844612121582,0.4030716121196747,0.3634206056594848,0.3573579788208008,0.4951896071434021,0.6031990051269531,0.6802423000335693,0.2358217537403106,0.6071234941482544
0.6124355792999268,0.4245025515556335,0.4566817283630371,0.3617830872535705,0.5347209572792053,0.5184803009033203,0.7017513513565063,0.197406455874443,0.6078877449035645
0.574712336063385,0.4462180137634277,0.4389244318008423,0.3005697727203369,0.470191478729248,0.535439670085907,0.6659233570098877,0.1237924396991729,0.5093244314193726
